Abbreviation,Meaning
3A ,"Analytical problem solving, Accountability, Avoiding significant events"
A/C ,Air Conditioning
A/E ,Architect/Engineer
AAC ,Alternate Alternating Current
AC ,Administrative Coordinator
AC ,Alternating Current
ACA ,Apparent Cause Analysis
ACAD ,Automated Card Access Device
ACCUM ,Accumulator
ACE ,Actuator Capability Evaluation
ACE ,Apparent Cause Evaluation
ACI ,American Concrete Institute
ACOT,Analog Channel Operational Test
ACP ,Administrative Control Procedure
ACR ,Adverse Condition Report
ACRI ,Air Conditioning and Refrigeration Institute
ACRS ,Advisory Committee on Reactor Safeguards
ACS ,Advanced Crusher and Shearer
ACU ,Alarm Control Units
ADC ,Analog-to-digital Converter
ADDIE ,"Analysis, Design, Development, Implementation, and Evaluation"
ADI ,Absolute Drift Indication
ADS ,Automatic Dialing System
AEA ,Atomic Energy Act
AEC ,Atomic Energy Commission
AEP ,American Electric Power
AFAS ,Auxiliary Feedwater Actuation Signal
AFD ,Axial Flux Difference
AFI ,Area For Improvement
AFS ,Auxiliary Feedwater System
AFW ,Auxiliary Feedwater
AI ,Administrative Instruction
AI ,Authorized Inspector
AIM ,Asset Information Management
AISC ,American Institute of Steel Construction
AIT ,Augmented Inspection Team
AITTS ,Action Item Tracking and Trending System
ALARA ,As Low as Reasonably Achievable
ALI ,Annual Limit of Intake
ALR ,Alarm Response Procedures
AMP ,Access Management Program
AMSAC ,(ATWS) Mitigation System Activation Circuitry
ANERC ,American Nuclear Energy Council
ANI ,American Nuclear Insurers
ANI ,Authorized Nuclear Inspector
ANII ,Authorized Nuclear In-service Inspector
ANI-MAELU ,American Nuclear Insurers-Mutual Atomic Energy Liability Underwriters
ANO ,Arkansas Nuclear One
ANS ,American Nuclear Society
ANSI ,American National Standards Institute
AO ,Auxiliary Operator
AOA ,Axial Offset Anomaly
AOD ,Air Operated Diaphragm
AOD ,Axial Offsite Deviation
AOO ,Anticipated Operational Occurrences
AOP ,Abnormal Operating Procedure
AOT ,Allowed Outage Time
AOV ,Air Operated Valve
AP ,Administrative Procedure
APG ,Activity per gram
API ,American Petroleum Institute
APNCI ,Administrative Procedure Non-Compliance Index
APRM ,Average Power Range Monitor
APSRA ,Axial Power Shaping Rod Assembly
AR ,Action Request
ARACS ,Automated Radiological Access Control System
ARDV ,Air Relay Dump Valve
ARM ,Area Radiation Monitor
A-R-M ,"Alert, Record and Monitor"
ARV ,Atmospheric Relief Valve
ARW (from USAR)  ,Chemical Waste
ASCE ,American Society of Civil Engineers
ASER ,Accreditation Self-Evaluation Report
ASLB ,Atomic Safety & Licensing Board
ASLB ,Auxiliary Steamline Break
ASME ,American Society of Mechanical Engineers
ASP ,Auxiliary Shutdown Panel
ASR ,Air Start Relay
ASR ,At Speed Relay
ASTM ,American Society for Testing and Materials
ATI ,Automatic Test Indication / Insertion
ATOMS ,Attitudes Toward Observations Maximizes Safety
ATWS ,Anticipated Transients Without Scram
ATWT ,Anticipated Transients Without Trip
AUG ,Air Operated Valve Users’ Group
AUX ,Auxiliary
